. Product #,Name,Internal Reference,Product Category,Product Type,Sales Price,Sales Price (raw),Cost,Cost (raw),Can be Sold,Can be Purchased,Sales Taxes,Invoicing Policy,Unit of Measure,Sales Description,Internal Description
1,Config Webhook Typeform,INT-TYPEFORM,Services > Integraciones,Service,80.0,80.00€,35.0,35.00€,True,False,21% IVA (venta),Cantidad entregada (ordered quantities),Unidad (formulario),"Configuración de webhook en formulario Typeform.
  Incluye:
- Acceso y configuración del webhook
- Configuración del endpoint receptor
- Mapeo de campos del formulario
- Testing con envío de prueba
  Tiempo estimado: 30 minutos
Precio por formulario adicional: 80€","Tiempo real: 30 min
Coste interno: 35€
Markup: 2.2x"
2,Conexión Google Sheets,INT-SHEETS,Services > Integraciones,Service,100.0,100.00€,47.0,47.00€,True,False,21% IVA,Cantidad entregada,Unidad (hoja),"Conexión a hoja de Google Sheets para lectura/escritura.
  Incluye:
- Setup OAuth o Service Account
- Configuración de permisos
- Mapeo de columnas
- Testing de lectura y escritura
  Tiempo estimado: 40 minutos
Precio por hoja adicional: 100€","Tiempo real: 40 min (0.67h)
Coste interno: 47€
Markup: 2.2x"
3,Setup WhatsApp Business API,INT-WHATSAPP,Services > Integraciones,Service,450.0,450.00€,210.0,210.00€,True,False,21% IVA,Cantidad entregada,Unidad (setup único por cliente),"Configuración completa de WhatsApp Business API.
  Incluye:
- Creación de cuenta WhatsApp Business
- Verificación y permisos Meta
- Configuración de webhooks
- Setup de templates iniciales (2 templates)
- Testing de envío y recepción
  Tiempo estimado: 3 horas
  Templates adicionales: 30€ cada uno
Solo un setup por cliente (no se repite)","Tiempo real: 3h
Coste interno: 210€
Markup: 2.2x
Nota: Templates extra a 30€ c/u"
4,Conexión API Odoo (por módulo),INT-ODOO,Services > Integraciones,Service,280.0,280.00€,126.0,126.00€,True,False,21% IVA,Cantidad entregada,Unidad (módulo),"Conexión a módulo específico de Odoo vía XML-RPC.
  Incluye:
- Setup autenticación XML-RPC
- Configuración de permisos y accesos
- Mapeo de campos del módulo
- Testing de operaciones CRUD
  Módulos disponibles: CRM, Ventas, Contabilidad, Proyectos, etc.
  Tiempo estimado: 1.8 horas
Precio por módulo adicional: 280€","Tiempo real: 1.8h
Coste interno: 126€
Markup: 2.2x"
5,Config Email SMTP/IMAP,INT-EMAIL,Services > Integraciones,Service,120.0,120.00€,52.5,52.50€,True,False,21% IVA,Cantidad entregada,Unidad (cuenta),"Configuración de cuenta de email para automatizaciones.
  Incluye:
- Configuración OAuth o App Password
- Setup SMTP/IMAP endpoints
- Configuración de filtros y reglas
- Testing de envío y recepción
  Compatible con: Gmail, Outlook, otros
  Tiempo estimado: 45 minutos
Precio por cuenta adicional: 120€","Tiempo real: 45 min (0.75h)
Coste interno: 52.5€
Markup: 2.2x"
6,Integración API REST Estándar,INT-API-REST,Services > Integraciones,Service,280.0,280.00€,126.0,126.00€,True,False,21% IVA,Cantidad entregada,Unidad (API),"Integración con API REST estándar de terceros.
  Incluye:
- Análisis de documentación API
- Setup autenticación (API key/OAuth)
- Implementación de primeras llamadas
- Manejo de errores básico
- Testing
  Aplica a APIs con documentación clara y autenticación estándar.
  APIs complejas (GraphQL, webhooks bidireccionales): cotización aparte
  Tiempo estimado: 1.8 horas","Tiempo real: 1.8h
Coste interno: 126€
Markup: 2.2x
Nota: APIs complejas desde 500€"
7,Setup Make/n8n/Zapier,INT-PLATFORM,Services > Integraciones,Service,80.0,80.00€,35.0,35.00€,True,False,21% IVA,Cantidad entregada,Unidad (plataforma),"Configuración inicial de plataforma de automatización.
  Incluye:
- Creación de cuenta y workspace
- Setup de autenticaciones iniciales
- Primer workflow de prueba
  Plataformas soportadas: Make, n8n, Zapier
  Tiempo estimado: 30 minutos
  Nota: Los workflows individuales se cobran según complejidad","Tiempo real: 30 min (0.5h)
Coste interno: 35€
Markup: 2.2x"
8,Integración OneDrive,INT-ONEDRIVE,Services > Integraciones,Service,120.0,120.00€,53.0,53.00€,True,False,21% IVA,Cantidad entregada,Unidad (integración),"Conexión con Microsoft OneDrive para gestión de archivos.
  Incluye:
- Autenticación OAuth2 con Microsoft
- Lectura de archivos y carpetas
- Escritura y actualización de archivos
- Gestión de permisos básicos
  Casos de uso:
- Guardar archivos adjuntos automáticamente
- Leer documentos para procesamiento
- Sincronización de archivos
  Compatible con: OneDrive Personal y OneDrive for Business
  Tiempo estimado: 45 minutos
  Ejemplo: Guardar facturas recibidas por email en carpeta OneDrive","Tiempo real: 45 min (0.75h)
Coste interno: 53€
Markup: 2.2x
API: Microsoft Graph API
Caso real: Opp ganada Outlook-OneDrive-Odoo (950€)"
9,Integración Google Drive,INT-GDRIVE,Services > Integraciones,Service,120.0,120.00€,53.0,53.00€,True,False,21% IVA,Cantidad entregada,Unidad (integración),"Conexión con Google Drive para gestión de archivos.
  Incluye:
- Autenticación OAuth2 con Google
- Lectura de archivos y carpetas
- Escritura y actualización de archivos
- Gestión de permisos compartidos
  Casos de uso:
- Guardar archivos automáticamente
- Leer documentos para procesamiento
- Backup automático
- Compartir archivos con equipos
  Compatible con: Google Drive personal y Workspace
  Tiempo estimado: 45 minutos
  Nota: Diferente de Google Sheets (que es para hojas de cálculo)","Tiempo real: 45 min (0.75h)
Coste interno: 53€
Markup: 2.2x
API: Google Drive API v3"
10,Integración Outlook/Microsoft 365,INT-OUTLOOK-M365,Services > Integraciones,Service,150.0,150.00€,70.0,70.00€,True,False,21% IVA,Cantidad entregada,Unidad (integración),"Integración específica para Outlook corporativo y Microsoft 365.
  Incluye:
- Autenticación OAuth2 con tenant de Azure AD
- Gestión de emails (leer, enviar, archivar)
- Acceso a calendario y eventos
- Gestión de contactos
- Permisos delegados o aplicación
  Casos de uso:
- Automatización de bandeja de entrada
- Procesamiento de emails con adjuntos
- Sincronización con CRM
- Notificaciones de eventos
  Tiempo estimado: 1 hora
  Diferencia con 'Config Email': Este incluye OAuth corporativo,
calendario, contactos y permisos avanzados M365
  Ejemplo: Leer facturas de Outlook, guardar en OneDrive, crear en Odoo","Tiempo real: 1h
Coste interno: 70€
Markup: 2.1x
API: Microsoft Graph API (Mail, Calendar, Contacts)
Caso real: Opp ganada Outlook-OneDrive-Odoo (950€)"
11,Setup Chatbot Web,INT-CHATBOT,Services > Integraciones,Service,800.0,800.00€,350.0,350.00€,True,False,21% IVA,Cantidad entregada,Unidad (setup),"Configuración inicial de chatbot en sitio web.
  Incluye:
- Selección y configuración de plataforma (Voiceflow, Botpress, o custom)
- Diseño de flujo conversacional básico (3-5 interacciones)
- Integración en sitio web (widget o iframe)
- Configuración de estilos y branding
- Pruebas iniciales
  Plataformas soportadas:
- Voiceflow (recomendado)
- Botpress
- Custom (React, HTML/JS)
  NO incluye:
- Lógica de IA avanzada (se cotiza aparte)
- Integraciones con backend (se añaden según componente)
- Mantenimiento posterior
  Tiempo estimado: 4-5 horas
  Ideal para: Atención cliente básica, pre-venta, FAQ automatizado
  Ejemplo: Chatbot que pregunta por servicio de interés y deriva a WhatsApp","Tiempo real: 4-5h
Coste interno: 350€
Markup: 2.3x
Casos reales: BEBEPOLIS (1.500€), HANOK AGENCY (4.000€)
Nota: Suele ir con Clasificador IA + Generador IA"
